date,display_category,top_level_group,listing_count,avg_price_usd,pct_new_condition
2024-09-15,Brake system (GE),Auto parts,0,30.6,1.0
2024-09-16,Brake system (GE),Auto parts,0,30.6,1.0
2024-09-17,Brake system (GE),Auto parts,0,30.6,1.0
2024-09-18,Brake system (GE),Auto parts,0,30.6,1.0
2024-09-19,Brake system (GE),Auto parts,0,30.6,1.0
2024-09-20,Brake system (GE),Auto parts,0,30.6,1.0
2024-09-21,Brake system (GE),Auto parts,0,30.6,1.0
2024-09-22,Brake system (GE),Auto parts,0,30.6,1.0
2024-09-23,Brake system (GE),Auto parts,0,30.6,1.0
2024-09-24,Brake system (GE),Auto parts,0,30.6,1.0
2024-09-25,Brake system (GE),Auto parts,2,106.0,1.0
2024-09-26,Brake system (GE),Auto parts,0,106.0,1.0
2024-09-27,Brake system (GE),Auto parts,1,50.0,1.0
2024-09-28,Brake system (GE),Auto parts,0,50.0,1.0
2024-09-29,Brake system (GE),Auto parts,0,50.0,1.0
2024-09-30,Brake system (GE),Auto parts,0,50.0,1.0
2024-10-01,Brake system (GE),Auto parts,0,50.0,1.0
2024-10-02,Brake system (GE),Auto parts,0,50.0,1.0
2024-10-03,Brake system (GE),Auto parts,0,50.0,1.0
2024-10-04,Brake system (GE),Auto parts,0,50.0,1.0
2024-10-05,Brake system (GE),Auto parts,0,50.0,1.0
2024-10-06,Brake system (GE),Auto parts,0,50.0,1.0
2024-09-07,Bridge and transmission,Auto parts,0,0.0,1.0
2024-09-08,Bridge and transmission,Auto parts,0,0.0,1.0
2024-09-09,Bridge and transmission,Auto parts,0,0.0,1.0
2024-09-10,Bridge and transmission,Auto parts,0,0.0,1.0
2024-09-11,Bridge and transmission,Auto parts,0,0.0,1.0
2024-09-12,Bridge and transmission,Auto parts,0,0.0,1.0
2024-09-13,Bridge and transmission,Auto parts,0,0.0,1.0
2024-09-14,Bridge and transmission,Auto parts,0,0.0,1.0
2024-09-15,Bridge and transmission,Auto parts,1,0.0,1.0
2024-09-16,Bridge and transmission,Auto parts,0,0.0,1.0
2024-09-17,Bridge and transmission,Auto parts,0,0.0,1.0
2024-09-18,Bridge and transmission,Auto parts,0,0.0,1.0
2024-09-19,Bridge and transmission,Auto parts,0,0.0,1.0
2024-09-20,Bridge and transmission,Auto parts,0,0.0,1.0
2024-09-21,Bridge and transmission,Auto parts,0,0.0,1.0
2024-09-22,Bridge and transmission,Auto parts,0,0.0,1.0
2024-09-23,Bridge and transmission,Auto parts,2,60.0,1.0
2024-09-24,Bridge and transmission,Auto parts,0,60.0,1.0
2024-09-25,Bridge and transmission,Auto parts,0,60.0,1.0
2024-09-26,Bridge and transmission,Auto parts,0,60.0,1.0
2024-09-27,Bridge and transmission,Auto parts,0,60.0,1.0
2024-09-28,Bridge and transmission,Auto parts,0,60.0,1.0
2024-09-29,Bridge and transmission,Auto parts,0,60.0,1.0
2024-09-30,Bridge and transmission,Auto parts,0,60.0,1.0
2024-10-01,Bridge and transmission,Auto parts,0,60.0,1.0
2024-10-02,Bridge and transmission,Auto parts,0,60.0,1.0
